Alberta Medieval Settlement, 403-689-9426, silverhorsejen@hotmail.com, , Box49152OgdenCalgaryABT2C3W5 
Adult Recreational Choir Society of Calgary, 403-282-4378, executivedirector@archoirs.org, , 28CrowfootTerracePOBox68242CalgaryABT3G3N8 
Adult Literacy Tutoring Service (ALTS), 403-440-7246, osemmens@mtroyal.ca, , 4825MountRoyalGateSWCalgaryABT3B4A7 
12 Community Safety Initiative, 587-223-3749, larry@12csi.ca, 12csi.ca, 250,3515-17AvenueSECalgary,ABT2A0R5 
Southern Alberta Brain Injury Society, 403-521-5212, annalise@sabis.ab.ca, www.sabis.ab.ca, 140,30114thStreetNWCalgaryABT2N2A1 
Alberta Children's Hospital Foundation, 403-955-8838, jlyall@achf.com, cildrenshospital.ab.ca , ManylocationsCalgaryABT3B6A8 
Alberta Association of Immigrant Serving Agencies, 403-273-2962, communications@aaisa.ca, https://aaisa.ca/, #200903-8AvenueSWCalgaryABT2P0P7 
Acadia Community Association, 403-697-4822, memberhsip@acadiaca.com, www.acadiaca.com, 240-90thAveSE240-90thAveSECalgaryABT2J6P6 
Alberta Addicts Who Educate and Advocate Responsibly, 403-614-7623, executivedirector@aawear.org, www.aawear.org, 12134StSWCALGARYABT2R0X7 
Acadia Community Garden and Art Society, 403-800-8365, info@growingacadia.ca, , 332–94thAvenueSECalgaryABT2J0E8 
Affinity Mentorship Foundation (AMF), 403-200-9766, info@affinitymentorship.com, affinitymentorship.com, POBox14058RichmondRoadPOCalgaryABT3E7Y7 
ActionDignity, 403-263-9900, info@actiondignity.org, www.actiondignity.org, 91533StreetNortheastCalgaryABT2A6T2 
Adoption By Choice, 403-245-8854, jerri-lynn.deveau@adoptionbychoice.ca, www.adoptionbychoice.ca, #250,311512StreetNECalgaryABT2E7J2 
Age-Friendly Calgary, 403-476-7244, agefriendlycalgary@calgary.ca, www.calgary.ca/agefriendly, Mailcode#104P.O.Box2100,Stn.MCalgaryABT2P2M5 
Accessible Housing, 403-282-1872, info@accessiblehousing.ca, http://accessiblehousing.ca/, DeerfootJunctionIIISuite#215,1212-31stAveNECalgaryABT2E7S8 
Airdrie & District Hospice Society, 403-880-0424, hospiceairdrie@gmail.com, www.airdriehospice.ca, Box70014CreeksideRPOAirdrieABT4B0V9 
Abbeydale Christian Fellowship, 403-273-6222, mail@abbeydale.org, http://abbeydale.org/index.php/connect/community-cupboard, 1352AbbeydaleDriveSECalgaryABT2A7L8 
Alberta Cancer Foundation, 403-998-2895, Paula.Bildfell@albertacancer.ca, https://www.albertacancer.ca/, 162029thStreetNWUnit300CalgaryABT2N4L7 
Alberta Animal Rescue Crew Society, 403-250-7377, rachel@aarcs.ca, www.aarcs.ca, 506074thAveSECalgaryABT2C3C9 
AgeCare, 403-351-8974, volunteers@agecare.ca, https://www.agecare.ca/careers/volunteer/, 19655WaldenBlvdSE,CalgaryABT2X0N7 
Accessibility Renovations for Kids (ARK) Society, 587-997-5024, bridgit.kong@arksociety.ca, https://www.arksociety.ca, VariesCalgaryABT2C4P5 
Airdrie Food Bank, 403-948-0063, volunteers@airdriefoodbank.com, www.airdriefoodbank.com, 20EastLakeWayAirdrieABT4A2J3 
Airdrie and District Victim Assistance, 403-945-7290, colleen.maurice@rcmp-grc.gc.ca, http://www.airdrievictimassistance.com/, 2HighlandParkWayNEAirdrieABT4A0R1 
Airdrie 2020, 587-254-8020, volunteers@airdrie2020.com, www.albertawintergames.ca, 805MainStreetSAirdrieABT4B0R6 
Canadian Liver Foundation, 403-276-3390, twiebe@liver.ca, www.liver.ca, Suite309,1010-1AvenueNECalgaryABT2E7W7 
Carewest, 403-943-8170, empserv@albertahealthservices.ca, http://carewest.ca/dir/volunteering/, VariousCarewestLocationsMainOffice:10301SouthportLaneSWCalgaryABT2W1S7 
Canadian Club Calgary, 403-831-3566, President@canadianclubcalgary.ca, http://canadianclubcalgary.ca/, POBox574,STNMCalgaryABT2P2J2 
Centre for Newcomers, 403-539-5854, e.mew@centrefornewcomers.ca, www.centrefornewcomers.ca, Unit1010,999-36thStreetNECalgaryABT2A7X6 
Centre for Suicide Prevention, 403-245-3900, akash@suicideinfo.ca, https://www.suicideinfo.ca/, Suite320,10512AvenueS.E.CalgaryABT2G1A1 
Champions Career Centre, 403-265-5374, reception@championscareercentre.org, championscareercentre.org, Suite650,839-5thaveSWCalgaryABT2P3C8 
Cerebral Palsy Kids and Families, 403-205-4935, karen@calgarycp.org, www.calgarycp.org, 1217015MacleodTrailSWCalgaryABT2H2K6 
Catholic Family Service, 403-205-8549, ellyse.lambie@cfs-ab.org, www.cfs-ab.org, 250,707-10AvenueSWCalgaryABT2R0B3 
Canadian Blood Services Youth Committee, 587-890-5827, calgaryyc.vrc@gmail.com, https://www.blood.ca, 200BarclayParadeSWUnit#10CalgaryABT2P4R5 
Canadian Hispanic Village Coop Housing, 403-590-0868, lasamericasvillas.adm@shaw.ca, https://canadianhispanicvillageco-op.ca/, 89LasAmericasVillasNECalgaryABT1Y6Y6 
CAREERS: The Next Generation, 780-239-4817, sjones@nextgen.org, https://www.careersnextgen.ca/, 272512StreetNECalgaryABT2E7J2 
Canadian Blood Services, 403-410-2725, calgaryyc.syp@gmail.com, www.blood.ca, 200BarclayParadeSW#202CalgaryABT2P4R5 
CanLearn Society, 403-686-9300, library@canlearnsociety.ca, https://www.canlearnsociety.ca, 100-1117MacleodTrailSECalgaryABT2G2M8 
Career Match, 403-827-5315, careermatchyyc@gmail.com, https://careermatchalberta.com, 101K1919UniversityDriveNwCalgaryABT2N4T4 
CARE Canada, 403-607-1842, ulrike.thomas@care.ca, https://care.ca/get-involved/councils-care-canada, VariousLocationsCalgaryABT2Z1H4 
Canadian Child Abuse Association, 403-289-8385, aliceg@ccaa.org, www.ccaa.org, P.O.Box42066,AcadiaPostalOutletCalgaryABT2J7A6 
Cerebral Palsy Association in Alberta, 403-219-1573, smccaffrey@cpalberta.com, http://www.cpalberta.com/about-us/opportunities/calgary-volunteers/, 12001-44StSECalgaryABT2Z4G9 
Canadian Parks and Wilderness Society Southern Alberta Chapter (CPAWS SAB), 403-232-6686, volunteersab@cpaws.org, , 88CanadaOlympicRoadSWCalgaryABT3B5R5 
Canadian National Institute for the Blind (CNIB)- Calgary, 403-266-8831, absvolunteers@cnib.ca, www.cnib.ca, 10-11AStNECalgaryABT2E4Z3 
Carya Society of Calgary (formely called Calgary Family Services), 403-205-5281, hr@caryacalgary.ca, caryacalgary.ca, 180,839-5thAvenueSWCalgaryABT2P3C8 
Canadian Mental Health Association (CMHA), 403-297-1700, volunteer1@cmha.calgary.ab.ca, http://cmha.calgary.ab.ca/get-involved-2/volunteer/, #105,10407AveSWCalgaryABT2P3G9 
Canadian Health, Immunization and Learning Development Foundation, 403-978-5586, ed@childfoundation.ca, childfoundation.ca, 66AspenRidgeWaySWCalgaryABT3H5M2 
Canadian Cancer Society, 403-205-3966, volunteer@cancer.ab.ca, www.cancer.ca, 200325ManningRoadNECalgaryABT2E2P5 
Centre for Affordable Water and Sanitation Technology (CAWST), 403-243-3285, volunteers@cawst.org, www.cawst.org, Upper424AviationRoadNECalgaryABT2E8H6 
Awo Taan Healing Lodge Society, 403-531-1970, awotaan@awotaan.org, www.awotaan.org, 451817AveSECalgaryABT2A0T8 
Association for the Rehabilitation of the Brain Injured (ARBI), 403-217-4591, ericab@arbi.ca, www.arbi.ca, 3412SpruceDriveSWCalgaryABT3C3A4 
A.O. Shirley Memorial Foundation, 403-922-3647, inkubatoryyc@gmail.com, https://www.dowhatulove.org/#/volunteer/, 3RiverwoodCloseSEnearWinnersEntranceCalgaryABT2C3Z4 
Big Winter Classic, 403-608-0842, big@bigwinterclassic.com, www.bigwinterclassic.com, 61111AveSWCalgaryABT2R1L8 
Arusha Centre Society, The, 403-270-3200, gerald@arusha.org, www.arusha.org, 223-12AveSWCalgaryABT2R0G9 
Association Canadienne Française de l'Alberta (ACFA), régional of Calgary, 403-532-8576, assistant-coord.calgary@acfa.ab.ca, acfa.ab.ca, 8407AveSW,unit1601N/ACalgaryABT2P3G2 
A Synergy A Prosperity Association, 403-890-4839, TaxClinicASAP@gmail.com, , #101,128-2AveSECalgaryABT2G5J5 
Art à la Carte, 403-281-6131, admin@artalacarte.org, https://www.artalacarte.org/, FoothillsMedicalCentreSouthHealthCampusCalgaryABT3M1M4 
Birth Unlimited Society, 403-237-8839, admin@birthunlimited.ca, http://birthingmagazine.net, 1616-20AStreetN.W.CalgaryABT2N2L5 
Between Friends, 403-930-3852, afranz@betweenfriends.ab.ca, https://betweenfriends.ab.ca/, 205,8989MacleodTrailSThisisourmainoffice.Typicallyourvolunteeropportunitiesoccurinthecommunity(North,Central,andSouth).CalgaryABT2H0M2 
Auburn Bay Community Association, 403-390-2554, abca.events@gmail.com, www.auburnbayca.info, AuburnBay-parksCalgaryABT3M0A4 
AWSN, 855-674-2976, info@awsn.org, www.awsn.org, 3553-31StreetNW,Calgary,ABCalgaryABT2L2K7 
Bow Cliff Seniors, 403-246-0390, dioifelis@bowcliffseniors.org, www.bowcliffseniors.org, 3375SpruceDriveSWCalgaryABT3C3A3 
Autism Calgary Association, 403-250-5033, meghan@autismcalgary.com, https://autismcalgary.com/, AutismCalgaryAssociation363926StreetNECalgaryABT1Y5E1 
Bethany Care Society/Harvest Hills, 403-226-8200, shauna.ciezki@bethanyseniors.com, www.bethanyseniors.com, 19HarvestGoldManorNECalgaryABT3K4Y1 
Beakerhead, 403-680-6741, danielle@beakerhead.com, www.beakerhead.com, 14054StreetSWCalgaryABT2R0Y2 
Bethany Care Society- Riverview , 587-392-3970, lasina.jacobsen@bethanyseniors.com, bethanyseniors.com, #200291526AvenueSECalgaryABT2B2W6 
Autism Aspergers Friendship Society of Calgary, 403-875-0524, dean@aafscalgary.com, www.aafscalgary.com, 7220-DFairmountDriveSECalagryABT2H0X7 
Antyx Community Arts Society (formerly All Nations Theatre Society), 403-444-0500, stephanie@antyx.org, www.antyx.org, #205420217AveSECalgaryABT2A0T2 
Aspen Family & Community Network Society, 403-219-3477, careers@aspenfamily.org, www.aspenfamily.org, Suite200,2609-15thStNECalgaryABT2E8Y4 
Bethany Care Society/Calgary , 403-284-6047, suzanne.eckstadt@bethanyseniors.com, www.bethanyseniors.com, 91618AStreetNWCalgaryABT2N1C6 
Bow Crest Care Centre - Revera, 403-288-2373, brenda.baumgartner@reveraliving.com, Reveraliving.com, Bow-CrestCareCentre5927BownessRoadNWCalgaryABT3B0C7 
Big Brothers Big Sisters of Calgary and Area, 403-777-3534, intake.calgary@bigbrothersbigsisters.ca, http://bbbscalgary.ca/, 5945CentreStreetSWCalgaryABT2H0C2 
Ann & Sandy Cross Conservation Area (ASCCA), 403-931-1042, aaldridge@crossconservation.org, crossconservation.org, 20-194001160StreetWestFoothillsABT1S4K9 
Calgary Chinese Elderly Citizens' Association, 403-269-6122, celia.li@cceca.ca, , 111RiverfrontAveSWCalgaryABT2P4Y8 
Calgary Dental Assistants Association, 403-816-3265, maeghanheck@gmail.com, www.calgaryrda.ca, InglewoodCommunityHall174024AveSECalgaryABT2G1P9 
Calgary Blizzard Soccer Club, 403-680-1131, pennyantoniuk@shaw.ca, https://calgaryblizzard.com/, 5149CountryHillsBlvdNW#252CalgaryABT3A5K8 
Calgary Communities Against Sexual Abuse, 403-237-6905, info@calgarycasa.com, http://www.calgarycasa.com/, Suite700,9107thAveSWCalgaryABT2P3N8 
Calgary Blues Music Association, 403-668-7144, volunteer@calgarybluesfest.com, http://www.calgarybluesfest.com, ShawMillenniumPark(12209AveSW)CalgaryABT2G1P2 
Calgary Counselling Centre, 403-691-5991, intake.coordinator@calgarycounselling.com, www.calgarycounselling.com, 1000,10512AvenueSECalgaryABT2G1A1 
Calgary Corporate Challenge, 403-612-1522, info@calgarycorporatechallenge.com, www.calgarycorporatechallenge.com, 10512AvenueSoutheastCalgaryABT2G1A1 
Calgary Chamber of Voluntary Organizations (CCVO), 403-261-6655, schennells@calgarycvo.org, www.calgarycvo.org, 1175,105–12AvenueSECalgaryABT2G1A1 
Calgary Chinese Community Service Association, 403-265-8446, dtam@cccsa.ca, www.cccsa.ca, 1406CentreStreetN.E.CalgaryABT2E2R9 
Calgary Co-Parenting Centre, 403-238-6063, bcellars@coparenting.ca, www.coparenting.ca, Suite202,4603VarsityDriveNWCalgaryABT3A2V7 
Calgary Bridge Foundation for Youth, 403-230-7745, DKoirala@cbfy.ca, http://www.cbfy.ca/, CBFYProgramsarerunthroughCalgary.PleaselookatthespecificpositionforthespecificlocationCalgaryABT2H0K2 
Calgary Association of Freelance Editors (CAFE), 403-000-0000, calgaryeditors@gmail.com, http://calgaryeditors.com/, TBACalgaryABT2N4S6 
Calgary Centre for Global Community, 403-457-5534, hello@humainologie.com, www.calgarycgc.org; www.humainologie.com, 205,223-12AveNWCalgaryABT2R0G9 
Calgary Arts Development Authority Ltd., 403-264-5330, kaley.beisiegel@calgaryartsdevelopment.com, , 2378AveSE501CalgaryABT2G5C3 
Calgary Drop-In and Rehab Centre Society, 403-699-8279, community@thedi.ca, https://www.calgarydropin.ca/, 1DermotBaldwinWaySECalgaryABT2G0P8 
Calgary Elevate Canadian Progress Club, 403-616-6958, colleenddm@gmail.com, www.elevatecpc.ca, 81517AvenueSWCalgaryABT2T5H7 
Calgary Doula Association, 403-585-8553, diannethedoula@gmail.com, https://www.calgarydoulas.ca/, 182013AveNWCalgaryABT2N1L3 
Calgary Fetal Alcohol Network, 403-249-7215, info@mycfan.ca, https://www.mycfan.ca/, 141-200RivercrestDriveSECalgaryABT2C2X5 
Calgary Exhibition and Stampede Limited, 403-261-9171, volunteerservices@calgarystampede.com, www.calgarystampede.com, 1410OlympicWaySECalgaryABT2G2W1 
Calgary Co-operative Memorial Society, 403-248-2044, admin@calgarymemorial.com, www.calgarymemorial.com, 6Suite204A,223–12thAvenueS.W.CalgaryABT2R0G9 
The Calgary Chinese Elderly Citizens' Association, 403-269-6122, patrick.ng@cceca.ca, www.cceca.ca, 111RiverfrontAvenue,SWCalgaryABT2P4Y8 
Calgary Catholic Immigration Society, 403-290-5753, volunteer@ccisab.ca, https://www.ccisab.ca, 1111-11AvenueSWCalgaryABT2R0G5 
Calgary Climate Hub Association, 403-542-1663, admin@calgaryclimatehub.ca, https://www.calgaryclimatehub.ca/, 31411ASt.NWCalgaryABT2N1X8 
Calgary Dream Centre, 403-243-5598, jmortis@calgarydreamcentre.com, www.calgarydreamcentre.com, 4510MacleodTrailSWCalgaryABT2G0A4 
Bow Valley High School Cheer, 587-777-3694, bvhscheerleading@gmail.com, , 2000RiverHeightsDriveCochraneABT4C1Y8 
Boys & Girls Club of Cochrane & Area, 403-981-2020, akelly@bgccochrane.ca, www.bgccochrane.ca, 111-5thAveWestCochraneABT4C1B5 
Bowness Community Association, 403-288-8300, volunteer@mybowness.com, http://www.mybowness.com, 790443AveNWCalgaryABT3B4P9 
Buckingjam Music Foundation, 403-836-0001, buckingjampalace@gmail.com, Www.buckingjampalace.com, 21018thStreet,S.W.CalgaryABT2T2Z7 
Buds in Bloom | Bourgeons en Éclat, 000-000-0000, info@BudsinBloom.org, www.BudsinBloom.org, 600-5920MacLeodTrailSouthWestc/oBudsinBloomCalgaryABT2H0K2 
Brown Bagging for Calgary's Kids, 587-222-3885, rebecca@bb4ck.org, bb4ck.org, 433MacleodTrailSECALGARYABT2G5J7 
CADS Calgary, 403-589-1211, volunteer@cadscalgary.ca, www.cadscalgary.ca, WinSportSkiHill-CanadaOlympicPark88CanadaOlympicRdCalgaryABT3B5R5 
Bridges Social Development (Canada Bridges), 587-429-0457, omar@canadabridges.com, www.canadabridges.com, TricoChangemakerStudiosMountRoyalUniversityCalgaryABT3E6K6 
Byrnes House, an Employment and Life Solutions Society., 403-700-1159, sara@thebyrneshouse.com, www.thebyrneshouse.com, LocationtobegivenattimeofopportunityCalgaryABT2A7V9 
Breast Cancer Supportive Care Foundation, 403-270-2158, info@bcscf.com, www.bcscf.com, 414,301-14StreetNWCalgaryABT2N2A1 
Calgary Aging In Place , 403-774-7247, info@calgaryaginginplace.ca, www.calgaryaginginplace.ca, POBox78014,383HeritageDriveSECalgaryABT2H2Y1 
Boys and Girls Clubs of Calgary, 403-998-0474, mbankey@bgcc.ab.ca, https://www.boysandgirlsclubsofcalgary.ca, BoysandGirlsClubsofCalgary73113AveNECalgaryABT2E1C8 
BowWest Community Resource Centre, 403-874-6809, germaine@bowwest.org, www.bowwest.org, 141840RanchlandsWayNW790443rdAvenueNWCalgaryABT3G1R4 
Bow Habitat Station Volunteer Society, 403-297-6561, bhs.volunteer@gov.ab.ca, http://bowhabitat.alberta.ca/visit/volunteer.aspx, BowHabitatStation144017AStreetSECalgaryABT2G4T9 
Brenda Strafford Foundation, 403-444-7218, bvm.volunteer@straffordfoundation.org, www.straffordfoundation.org, 4628MontgomeryBlvdCalgaryABT3B0K7 
Bridgeland/Riverside Community Association (Calgary Tool Library), 403-453-2167, toollibrary@brcacalgary.org, https://calgarytoollibrary.org/, 917CentreAveNECalgaryABT2A0C6 
Calgary and Area Child Advocacy Centre, 403-428-5377, cjennings@calgarycac.ca, https://calgarycac.ca, 400,3820–24AvenueNWCalgaryABT3B2X9 
Buffalo Rubbing Stone Parent Association, 403-831-9652, brsvolunteer@outlook.com, , 1308PanatellaBlvd.NWCalgaryABT3K0X2 
Calgary Alpha House Society, 403-831-7829, david@alphahousecalgary.com, www.alphahousecalgary.com, 203-15AveSECalgaryABT2G1G4 
Brenda Strafford Society for the Prevention of Domestic Violence, 403-270-7240, s.hawthorne@brendastraffordsociety.org, https://brendastraffordsociety.com/volunteer-opportunities/, Box61141CalgaryABT2N4S6 
Boys and Girls Club of Cochrane, 403-981-2020, nhume@BGCCOCHRANE.ca, https://www.bgccochrane.ca/home, P.OBox1554,1115thAveWestCochraneABT4C1B5 
Calgary (Alberta) Neuropathy Association, 403-668-9777, info@calgaryneuropathy.com, CalgaryNeuropathy.com, 451NorthmountDr.NWCalgaryABT2K3H8 
Bow View Manor (Div. of Brenda Strafford Foundation), 403-444-7218, bvm.VOLUNTEER@thebsf.ca, www.thebsf.ca, 4628MontgomeryBlvdNWCALGARYABT3B0K7 
Calgary Apraxia Parent Exchange, 403-288-7645, natasha@calgaryapraxia.ca, www.CalgaryApraxia.ca, CalgaryCalgaryABT3A2B2 
Calgary Mental Health Peer Support, 403-801-4253, calgarymentalhealth.camp@gmail.com, , 11NACalgaryABT1Y2R1 
Calgary Military Family Resource Centre, 403-410-2320, cassandra.reeves@calgarymfrc.ca, www.cafconnection.ca/Calgary, 4225CrowchildTrailSWCalgaryABT2T0E9 
Calgary Inter-Faith Food Bank Society, 403-319-0830, airwin@calgaryfoodbank.com, , 500011StreetSECalgaryABT2H2Y5 
Calgary International Film Festival, 403-283-1490, volunteer@calgaryfilm.com, www.calgaryfilm.com, 9998STREETSW,SUITE260CalgaryABT2R1J5 
Calgary Meals on Wheels, 403-243-2836, volunteer@mealsonwheels.com, https://mealsonwheels.com/, 575980AveSECalgaryABT2C4S6 
Calgary International Children's Festival, 403-294-7414, volunteer@calgarykidsfest.ca, http://calgarykidsfest.ca/public/, 2058thaveSECalgaryABT3J0C9 
Calgary Police Foundation, 403-428-8020, mcohen@calgarypolice.ca, http://calgarypolicefoundation.ca/, 511147StNECalgaryABT3J3R2 
Calgary Folk Arts Council, 403-262-8499, info@calgaryfolkartscouncil.ca, folkartsyyc.org, 306,8144thAveSWCalgaryABT2P3G8 
Calgary Nordic Alliance Association, 403-803-1110, volunteer@nordicalliance.ca, www.nordicalliance.ca, ConfederationParkGolfCourse,3204CollingwoodDr(NW)ShaganappiPointGolfCourse,120026St(SW)CalgaryABT2L0R6 
Calgary Marathon, 403-978-8535, volunteer@calgarymarathon.com, calgarymarathon.com, CalgaryStampedeGroundsandareaCalgaryABT2P2H9 
Calgary Outlink Centre for Gender and Sexual Diversity, 403-234-8973, info@calgaryoutlink.ca, http://www.calgaryoutlink.ca, 103,22312AvenueS.W.CalgaryABT2R0G9 
Calgary Girls Choir, 403-686-7444, office@calgarygirlschoir.com, www.calgarygirlschoir.com, 203526AStreetSWCalgaryABT3E2B9 
Calgary Fringe Festival, 403-451-9726, volunteer@calgaryfringe.ca, www.calgaryfringe.ca, 3RiverwoodCloseSECalgaryABT2C3Z4 
Calgary Performing Arts Festival, 403-283-6009, corrieann@cpafestival.ca, www.cpafestival.ca, 201-70035thStreetSECalgaryABT2H2G2 
Calgary Immigrant Women's Association, 403-517-8830, volunteer@ciwa-online.com, https://www.ciwa-online.com/, 138-4AveSEInthecommunityCalgaryABT2G4Z6 
Calgary Outdoor Swimming Pools Association, 403-207-5665, jjensen@calgaryoutdoorpools.ca, https://calgaryoutdoorpools.ca/, 426,918-16thAvenueN.W.CalgaryABT2M0K3 
Calgary Horticultural Society, 403-287-3469, volunteer@calhort.org, calhort.org, 20850AvenueSWCalgary,AlbertaT2S2S1CalgaryABT2S2S1 
Calgary Opera, 403-802-3415, volunteer@calgaryopera.com, http://volunteers.calgaryopera.com/, 13157StSWCalgaryABT2R1A5 
Calgary Local Immigrant Partnership (CLIP), 403-268-6443, CLIP@Calgary.ca, www.calgary.ca/clip, 31510AvenueSECalgaryABT2P2M5 
Calgary Keys to Recovery Society, 403-244-5397, karen@keystorecovery.ca, www.keystorecovery.ca, 201,327-41AveNECalgaryABT2E2N4 
Calgary Prairie Rose, Canadian Progress Club, 403-123-1234, info@prairieroseprogressclub.ca, www.prairieroseprogressclub.ca, CentralCalgaryCalgaryABT3C1C9 
Calgary John Howard Society, 403-266-4566, volunteers@cjhs.ca, www.cjhs.ca, 917-9Ave.S.E.CalgaryABT2G0S5 
Calgary Quidditch Club, 403-830-6341, info@calgaryquidditch.ca, www.calgaryquidditch.ca, CalgaryCalgaryABT2R1B5 
Calgary Public Library, 403-260-2629, volunteers@calgarylibrary.ca, , CentralLibrary8003rdStreetSECalgaryABT2G2M2 
Calgary Rock and Lapidary Club, 403-228-1165, gibbinss@shaw.ca, https://crlc.ca, #13,365019StreetNECalgaryABT2E6V2 
Calgary Volunteer Fair Society, 403-819-1553, hello@volunteerfair.ca, volunteerfair.ca, POBox94039ElbowRiverPostalOutletCalgaryABT2S0S4 
Calgary Zoo, 403-232-9300, volunteer@calgaryzoo.com, www.calgaryzoo.com, 1300ZooRoadNECalgaryABT2E7V6 
Calgary Women's Emergency Shelter, 403-290-1552, volunteer@cwes.ca, https://www.calgarywomensshelter.com/, 500,1509CentreStreetSWCalgaryABT2G2E6 
Calgary Society of Independent Filmmakers, 403-205-4747, programming@csif.org, www.csif.org, 100172510AveSWCalgaryABT3C0K1 
Calgary Society of Community Opportunities, 403-253-3454, csco1@telusplanet.net, www.cscocalgary.com, 261618St.NEUnit102CALGARYABT2E7R1 
Calgary River Valleys (Calgary River Forum Society), 403-268-4632, calgaryrivervalleys2@outlook.com, www.calgaryrivervalleys.org, POBox2100,StnM,Mailcode64CalgaryABT2P2M5 
Calgary Rural Primary Care Network , 403-700-6582, communications@crpcn.ca, www.crpcn.ca, McRaeStreetOkotoksABT1S1B4 
Calgary West Central Primary Care Network, 403-984-6527, PAC@cwcpcn.com, cwcpcn.com/PAC, 5966CentreStreetSECalgaryABT2H0C1 
Calgary Seniors' Resource Society, 403-266-6200, recruiting@calgaryseniors.org, http://www.calgaryseniors.org/, 363926thStNECalgaryABT1Y5E1 
Calgary Reads ( An Early Literacy Initiative ) Society, 403-777-8254, dawnc@calgaryreads.com, calgaryreads.com, VariouslocationsCalgaryABT2G1A1 
Calgary Regional Immigrant Employment Council (CRIEC), 587-894-7582, mentor@criec.ca, https://www.criec.ca/, 880-10512thAvenueSECalgaryABT2G1A1 
Canadian Association for Disabled Skiing - Calgary, 403-286-8050, info@cadscalgary.ca, http://www.cadscalgary.ca/, 88CanadaOlympicRdSWCalgaryABT3B5R5 
Calgary Wildlife Rehabilitation Society, 403-266-2282, admin@calgarywildlife.org, http://www.calgarywildlife.org, 11555-85thStreetN.W.CalgaryABT3R1J3 
